,host_response_rate,availability_365,neighbourhood_group,host_is_superhost,room_type,accommodates,room_type,bedrooms,beds,price,minimum_nights,review_scores_rating,amenities,instant_bookable,bathrooms
459,0.0,311,Pankow,f,Entire home/apt,4,Entire home/apt,1.0,1.0,100.0,4,96.0,10,f,1.5
460,0.0,291,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,2.0,2.0,150.0,4,100.0,16,f,1.0
478,100.0,36,Neukölln,f,Entire home/apt,5,Entire home/apt,2.0,4.0,100.0,4,93.0,6,f,1.0
487,100.0,284,Mitte,t,Entire home/apt,8,Entire home/apt,3.0,4.0,98.0,2,95.0,35,f,2.0
490,100.0,90,Friedrichshain-Kreuzberg,f,Entire home/apt,3,Entire home/apt,1.0,2.0,70.0,5,92.0,3,f,1.0
496,100.0,288,Steglitz - Zehlendorf,f,Entire home/apt,9,Entire home/apt,4.0,7.0,120.0,2,98.0,25,f,1.5
508,0.0,357,Neukölln,f,Entire home/apt,4,Entire home/apt,1.0,4.0,59.0,2,89.0,8,f,1.0
511,100.0,365,Mitte,f,Private room,3,Private room,1.0,2.0,106.0,5,94.0,25,f,1.5
516,100.0,353,Neukölln,t,Entire home/apt,3,Entire home/apt,1.0,2.0,43.0,60,98.0,13,f,0.0
530,100.0,262,Friedrichshain-Kreuzberg,t,Entire home/apt,3,Entire home/apt,1.0,2.0,52.0,90,95.0,27,f,1.0
532,100.0,326,Pankow,t,Entire home/apt,3,Entire home/apt,1.0,2.0,107.0,1,98.0,23,f,1.0
536,90.0,292,Pankow,f,Entire home/apt,4,Entire home/apt,2.0,2.0,59.0,4,93.0,25,t,1.0
538,100.0,269,Neukölln,f,Entire home/apt,4,Entire home/apt,2.0,1.0,63.0,1,83.0,26,f,1.0
543,90.0,365,Reinickendorf,f,Entire home/apt,6,Entire home/apt,2.0,2.0,60.0,5,94.0,37,f,1.5
545,100.0,192,Neukölln,t,Entire home/apt,4,Entire home/apt,1.0,1.0,68.0,5,97.0,30,t,1.0
550,100.0,344,Neukölln,f,Entire home/apt,4,Entire home/apt,2.0,3.0,199.0,3,100.0,20,t,1.0
553,100.0,269,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,1.0,4.0,75.0,61,91.0,7,f,1.0
557,0.0,365,Friedrichshain-Kreuzberg,f,Entire home/apt,3,Entire home/apt,1.0,1.0,159.0,3,0.0,3,f,1.0
558,100.0,323,Friedrichshain-Kreuzberg,f,Entire home/apt,8,Entire home/apt,4.0,4.0,455.0,2,96.0,36,f,2.0
568,100.0,345,Reinickendorf,f,Entire home/apt,3,Entire home/apt,2.0,2.0,42.71,2,91.0,28,t,1.0
570,100.0,298,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,1.0,2.0,79.0,1,96.0,26,f,1.0
576,100.0,79,Neukölln,f,Entire home/apt,4,Entire home/apt,1.0,3.0,69.0,3,96.0,30,t,1.0
578,100.0,236,Pankow,f,Entire home/apt,6,Entire home/apt,2.0,3.0,76.0,2,90.0,13,t,1.0
580,100.0,348,Neukölln,f,Entire home/apt,5,Entire home/apt,2.0,2.0,65.0,3,94.0,34,f,1.0
582,67.0,63,Mitte,f,Entire home/apt,3,Entire home/apt,1.0,2.0,84.0,3,99.0,27,f,1.0
583,0.0,365,Pankow,f,Private room,6,Private room,3.0,3.0,500.0,5,97.0,16,f,0.0
584,100.0,346,Mitte,f,Entire home/apt,4,Entire home/apt,1.0,1.0,61.0,90,85.0,5,f,1.0
594,100.0,320,Pankow,f,Entire home/apt,4,Entire home/apt,1.0,2.0,84.0,60,98.0,6,f,2.0
599,100.0,167,Neukölln,f,Entire home/apt,4,Entire home/apt,2.0,4.0,69.0,3,91.0,30,t,1.0
603,100.0,364,Charlottenburg-Wilm.,f,Entire home/apt,3,Entire home/apt,2.0,2.0,119.0,10,82.0,30,f,1.0
604,100.0,326,Friedrichshain-Kreuzberg,t,Private room,4,Private room,1.0,1.0,31.0,2,96.0,15,f,0.0
608,0.0,77,Charlottenburg-Wilm.,f,Entire home/apt,4,Entire home/apt,1.0,2.0,70.0,6,93.0,6,f,1.0
609,50.0,256,Friedrichshain-Kreuzberg,f,Entire home/apt,3,Entire home/apt,1.0,1.0,72.0,3,100.0,4,f,1.0
610,100.0,293,Friedrichshain-Kreuzberg,t,Entire home/apt,3,Entire home/apt,1.0,3.0,107.0,180,99.0,34,t,1.0
611,0.0,41,Neukölln,f,Private room,5,Private room,1.0,0.0,95.0,7,97.0,32,f,2.0
612,100.0,361,Lichtenberg,f,Private room,3,Private room,1.0,2.0,32.0,2,95.0,28,t,0.0
615,0.0,291,Reinickendorf,f,Entire home/apt,10,Entire home/apt,3.0,9.0,141.0,2,83.0,8,f,1.0
618,100.0,343,Friedrichshain-Kreuzberg,t,Entire home/apt,3,Entire home/apt,1.0,2.0,60.0,2,96.0,25,t,1.0
621,89.0,319,Charlottenburg-Wilm.,f,Entire home/apt,4,Entire home/apt,1.0,2.0,69.0,3,92.0,30,t,1.0
622,91.0,301,Neukölln,t,Entire home/apt,4,Entire home/apt,3.0,6.0,86.0,58,96.0,23,f,1.0
625,93.0,322,Mitte,f,Entire home/apt,8,Entire home/apt,3.0,6.0,72.0,2,85.0,15,t,1.5
631,100.0,288,Charlottenburg-Wilm.,t,Entire home/apt,3,Entire home/apt,1.0,1.0,27.0,60,91.0,22,f,1.0
638,100.0,202,Charlottenburg-Wilm.,f,Entire home/apt,3,Entire home/apt,2.0,3.0,57.0,62,97.0,25,f,1.0
643,100.0,179,Mitte,t,Entire home/apt,5,Entire home/apt,1.0,3.0,139.0,2,99.0,27,f,1.0
646,0.0,245,Mitte,t,Entire home/apt,6,Entire home/apt,2.0,3.0,280.0,10,96.0,31,f,1.0
648,100.0,360,Pankow,t,Entire home/apt,5,Entire home/apt,3.0,3.0,149.0,4,94.0,28,t,1.0
652,100.0,313,Charlottenburg-Wilm.,t,Entire home/apt,3,Entire home/apt,1.0,1.0,65.0,3,92.0,11,f,1.0
659,100.0,58,Mitte,t,Entire home/apt,4,Entire home/apt,2.0,2.0,56.0,1,96.0,32,t,1.0
660,100.0,354,Mitte,t,Entire home/apt,4,Entire home/apt,3.0,3.0,135.0,3,99.0,19,f,1.5
662,100.0,170,Friedrichshain-Kreuzberg,t,Entire home/apt,3,Entire home/apt,1.0,3.0,60.0,40,97.0,37,f,1.0
663,100.0,316,Charlottenburg-Wilm.,t,Entire home/apt,4,Entire home/apt,1.0,2.0,58.0,3,98.0,30,t,1.0
667,50.0,289,Neukölln,f,Entire home/apt,4,Entire home/apt,1.0,2.0,120.0,30,95.0,8,f,1.0
668,100.0,124,Friedrichshain-Kreuzberg,t,Entire home/apt,4,Entire home/apt,1.0,2.0,65.0,60,97.0,9,f,1.0
670,100.0,70,Neukölln,t,Entire home/apt,4,Entire home/apt,2.0,3.0,60.0,5,93.0,26,t,1.0
673,100.0,365,Charlottenburg-Wilm.,f,Entire home/apt,5,Entire home/apt,2.0,3.0,100.0,5,95.0,30,f,1.0
674,86.0,338,Mitte,f,Entire home/apt,7,Entire home/apt,3.0,5.0,135.0,2,91.0,22,t,1.0
677,100.0,319,Treptow - Köpenick,t,Private room,4,Private room,1.0,1.0,58.0,1,99.0,8,t,1.0
679,100.0,201,Pankow,f,Entire home/apt,3,Entire home/apt,1.0,2.0,57.0,3,90.0,22,t,1.0
684,100.0,336,Charlottenburg-Wilm.,f,Entire home/apt,3,Entire home/apt,1.0,2.0,45.0,1,90.0,24,t,1.0
