neighbourhood,neighbourhood_group,accommodates,room_type,bathrooms,bedrooms,beds,price,review_scores_rating,availability_365,instant_bookable
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,3,Private room,0,1,2,40,96,319,f
südliche Luisenstadt,Friedrichshain-Kreuzberg,4,Private room,0,1,2,48,97,45,f
Prenzlauer Berg Nordwest,Pankow,4,Entire home/apt,1.5,2,2,106,99,158,t
Regierungsviertel,Mitte,5,Entire home/apt,1,1,2,50,97,70,f
Helmholtzplatz,Pankow,4,Entire home/apt,1,1,0,150,100,203,f
Moabit Ost,Mitte,3,Entire home/apt,1,1,2,90,94,291,f
Schöneberg-Süd,Tempelhof - Schöneberg,16,Entire home/apt,0,4,10,314,96,302,t
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,5,Entire home/apt,2,3,5,213,99,358,f
Tempelhof,Tempelhof - Schöneberg,3,Entire home/apt,1,1,1,50,100,348,f
Alexanderplatz,Mitte,4,Entire home/apt,2,2,2,203.57,0,364,f
Albrechtstr.,Steglitz - Zehlendorf,3,Entire home/apt,1,1,1,55,98,337,t
Reuterstraße,Neukölln,3,Entire home/apt,1,2,2,50,84,324,f
Neue Kantstraße,Charlottenburg-Wilm.,4,Entire home/apt,1,2,2,65,95,347,f
Alexanderplatz,Mitte,3,Entire home/apt,1,2,2,49,93,363,f
Regierungsviertel,Mitte,3,Private room,0,1,1,40,88,364,f
Friedenau,Tempelhof - Schöneberg,5,Entire home/apt,1,3,4,80,92,46,t
Tiergarten Süd,Mitte,4,Entire home/apt,1,1,2,70,85,182,f
Brunnenstr. Süd,Mitte,9,Entire home/apt,2.5,4,5,153,96,51,f
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,3,Private room,0,1,2,50,81,180,f
Brunnenstr. Süd,Mitte,4,Entire home/apt,1,2,2,80,86,346,t
Gropiusstadt,Neukölln,3,Entire home/apt,1,1,1,45,87,364,f
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,6,Entire home/apt,1,2,4,115,88,330,t
Rahnsdorf/Hessenwinkel,Treptow - Köpenick,16,Entire home/apt,0,8,16,390,97,353,f
Prenzlauer Berg Südwest,Pankow,4,Shared room,0,1,1,31,97,313,t
Brunnenstr. Süd,Mitte,3,Entire home/apt,1,1,1,99,97,62,t
Weißensee,Pankow,5,Entire home/apt,2.5,2,3,90,98,319,f
Prenzlauer Berg Nordwest,Pankow,4,Entire home/apt,2,2,2,115,99,162,f
Schillerpromenade,Neukölln,4,Entire home/apt,1,1,2,79,95,350,t
Neuköllner Mitte/Zentrum,Neukölln,4,Entire home/apt,1,2,2,72,91,55,f
Frankfurter Allee Nord,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,3,98,97,146,t
Karow,Pankow,4,Private room,0,1,4,23,89,365,f
Alexanderplatz,Mitte,5,Entire home/apt,0,1,0,150,0,89,t
Alexanderplatz,Mitte,4,Entire home/apt,1,1,1,95,96,72,t
